Nazwa,Ticker,Kwartał [-],Data publikacji,Kurs [zł],Liczba akcji [-],Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Zysk operacyjny (EBIT) [tys. zł],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Nazwa+ticker
06MAGNA,06N,2005/Q4,2006-02-14,51.85,3005612,-9702.0,-785.0,-283.0,69.22,0.9,0.93,66.94,2.59,23.93,44.87,1.38,1.34,0.89,35.75,06MAGNA (06N)
06MAGNA,06N,2006/Q1,2006-05-15,57.92,3005612,1150.0,633.0,-667.0,69.5,0.99,0.86,79.89,-4.08,,45.11,1.53,1.24,0.85,-21.17,06MAGNA (06N)
06MAGNA,06N,2006/Q2,2006-08-14,70.12,3005612,2799.0,3707.0,1539.0,70.47,1.08,1.14,66.93,0.47,160.75,77.74,0.98,1.61,1.06,240.18,06MAGNA (06N)
06MAGNA,06N,2006/Q3,2006-11-14,79.87,3005612,18282.0,20167.0,17507.0,31.5,2.79,8.03,10.96,4.17,21.11,46.12,1.91,25.49,9.95,192.65,06MAGNA (06N)
06MAGNA,06N,2006/Q4,2007-03-01,79.3,3005612,-16331.0,2235.0,-25695.0,30.73,3.18,7.65,12.77,1.96,49.72,39.63,2.46,24.88,12.09,389.46,06MAGNA (06N)
06MAGNA,06N,2007/Q1,2007-05-15,86.83,1284048,572.0,-612.0,-121.0,71.64,1.36,17.08,5.72,4.14,23.57,92.3,1.06,23.84,11.89,412.03,06MAGNA (06N)
06MAGNA,06N,2007/Q2,2007-08-14,72.17,1284048,795.0,1420.0,126.0,70.72,1.47,16.87,6.16,2.58,40.21,71.9,1.45,23.86,17.0,653.01,06MAGNA (06N)
06MAGNA,06N,2007/Q3,2007-11-14,85.3,1284048,6341.0,-3881.0,2312.0,71.0,1.41,-1.01,,-6.72,,72.15,1.39,-1.42,-1.06,15.05,06MAGNA (06N)
06MAGNA,06N,2007/Q4,2009-04-02,14.3,1284048,605.0,-6439.0,119.0,6.33,5.26,-5.54,,6.47,5.14,6.32,5.27,-87.55,-15.78,-85.59,06MAGNA (06N)
06MAGNA,06N,2008/Q1,2009-05-15,14.3,1284048,666.0,-614.0,270.0,5.45,5.6,-5.61,,6.55,4.66,5.43,5.61,-103.09,-19.44,-85.75,06MAGNA (06N)
06MAGNA,06N,2008/Q2,2009-08-31,16.8,1284048,61414.0,2508.0,2231.0,21.74,0.96,-6.13,,53.76,0.39,-4.34,,-28.19,-9.48,-11.4,06MAGNA (06N)
06MAGNA,06N,2008/Q3,2009-11-13,12.0,1284048,50741.0,5565.0,8740.0,29.49,0.71,1.2,17.56,88.33,0.24,-0.54,,4.06,1.63,1.35,06MAGNA (06N)
06MAGNA,06N,2008/Q4,2010-03-22,11.4,1284048,63918.0,1149.0,-1423.0,30.1,0.57,6.7,2.57,137.64,0.13,2.82,6.09,22.28,8.68,4.87,06MAGNA (06N)
06MAGNA,06N,2009/Q1,2010-05-17,10.1,8673714,56635.0,2592.0,1269.0,6.31,2.2,1.23,11.29,26.83,0.52,1.19,11.68,19.5,8.0,4.59,06MAGNA (06N)
06MAGNA,06N,2009/Q2,2010-08-31,10.3,8673714,51883.0,1019.0,2987.0,6.38,2.09,1.02,13.02,25.73,0.52,-1.66,,16.02,5.6,3.97,06MAGNA (06N)
06MAGNA,06N,2009/Q3,2010-11-15,8.4,8673714,48735.0,-1816.0,1634.0,5.7,2.53,0.19,75.24,25.5,0.56,-1.6,,3.36,1.1,0.75,06MAGNA (06N)
06MAGNA,06N,2009/Q4,2011-03-21,7.0,8673714,33865.0,50.0,-191.0,5.66,1.96,0.03,441.64,22.03,0.5,-2.36,,0.44,0.15,0.11,06MAGNA (06N)
06MAGNA,06N,2010/Q1,2011-05-16,6.0,8673714,27601.0,-5967.0,-5155.0,5.18,2.14,-0.64,,18.69,0.59,-2.8,,-12.42,-3.95,-3.44,06MAGNA (06N)
06MAGNA,06N,2010/Q2,2011-08-31,2.4,8673714,31689.0,-6173.0,-4881.0,4.66,1.7,-1.23,,16.36,0.48,-2.45,,-26.35,-7.66,-7.51,06MAGNA (06N)
06MAGNA,06N,2010/Q3,2011-11-14,4.3,8673714,24194.0,-3494.0,-2994.0,4.37,1.97,-1.33,,13.53,0.64,-3.16,,-30.5,-9.16,-9.84,06MAGNA (06N)
06MAGNA,06N,2010/Q4,2011-03-21,7.0,8673714,16452.0,-24064.0,-23772.0,2.51,3.18,-3.15,,11.52,0.69,-5.07,,-125.25,-26.76,-27.31,06MAGNA (06N)
