Nazwa,Ticker,Liczba akcji [-],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Zobowiązania długoterminowe [tys. zł],Koszty finansowe [tys. zł],Przepływy pieniężne [tys. zł],Wolne przepływy pieniężne [tys. zł],Wzrost przychodów ze sprzedaży r/r [%],Wzrost przychodów ze sprzedaży z 3 lat [%],Wzrost przychodów ze sprzedaży z 5 lat [%],Wzrost zysku netto r/r [%],Wzrost zysku netto z 3 lat [%],Wzrost zysku netto z 5 lat [%],Wzrost kosztów sprzedaży r/r [%],Wzrost kosztów sprzedaży z 3 lat [%],Wzrost kosztów sprzedaży z 5 lat [%],Wzrost EBITDA r/r [%],Wzrost EBITDA z 3 lat [%],Wzrost EBITDA z 5 lat [%],Wzrost wartości firmy r/r [%],Wzrost wartości firmy z 3 lat [%],Wzrost wartości firmy z 5 lat [%],Wzrost kredytów i pożyczek r/r [%],Wzrost kredytów i pożyczek z 3 lat [%],Wzrost kredytów i pożyczek z 5 lat [%],Wzrost aktywów r/r [%],Wzrost aktywów z 3 lat [%],Wzrost aktywów z 5 lat [%],Wzrost pasywów r/r [%],Wzrost pasywów z 3 lat [%],Wzrost pasywów z 5 lat [%],Wzrost dywidendy r/r [%],Wzrost dywidendy z 3 lat [%],Wzrost dywidendy z 5 lat [%],Dywidenda [%],Nazwa+ticker
APATOR,APT,32647073,19.1,1.3,2.16,11.48,35.74,0.69,3.28,7.55,11.29,6.87,6.03,61738.0,10765.0,2693.0,35339.0,-4.98,7.84,24.8,-3.71,878.49,13.28,8.46,23.69,62.76,1.94,66.78,11.92,-0.02,-1.88,-4.55,15.84,-55.97,-16.53,6.04,-1.76,17.0,6.04,-1.76,17.0,48.79,76.08,-21.52,3.5000000000000004,APATOR (APT)
NEWAG,NWG,45000001,23.84,3.57,6.96,12.23,49.4,1.72,12.1,7.03,29.18,15.12,14.08,119119.0,22993.0,158893.0,264084.0,39.88,130.66,68.41,155.75,1279.78,43.35,-9.14,39.61,276.52,115.02,366.01,55.36,0.0,0.0,-9.34,144.01,-69.83,-57.54,19.45,45.66,48.16,19.45,45.66,48.16,108.33,700.0,100.0,2.1,NEWAG (NWG)
PROCHEM,PRM,2005000,15.05,1.33,-11.02,,53.58,0.37,-11.83,,-73.23,-16.91,-20.57,30739.0,3567.0,-2518.0,-8061.0,-23.11,-51.57,-69.5,-13.87,-4290.87,-257.37,,,,-23.62,-211.67,-144.33,,,,1070.37,367.0,468.52,6.08,-36.38,-48.04,6.08,-36.38,-48.04,,,,0.0,PROCHEM (PRM)
IPOPEMA,IPE,29937836,4.08,0.73,0.31,9.61,9.09,0.33,3.66,0.81,7.55,1.11,3.39,0.0,3810.0,433699.0,442793.0,5.81,4.6,5.44,4.68,73.31,-65.13,,,,-0.15,38.91,-62.05,,,,,,,128.78,118.18,40.63,128.78,118.18,40.63,-30.0,-32.26,,6.4,IPOPEMA (IPE)
DECORA,DCR,10547063,35.38,2.1,7.17,10.37,60.58,1.23,9.1,8.17,20.27,13.98,11.84,57249.0,2249.0,65.0,48536.0,8.66,17.08,72.31,-6.61,86.59,33.63,12.93,19.36,91.7,-1.56,84.02,56.56,0.0,0.0,0.0,0.5,-82.47,,8.94,14.61,117.9,8.94,14.61,117.9,33.33,100.0,166.66,5.7,DECORA (DCR)
XPLUS,XPL,69646804,0.25,9.87,0.1,24.84,0.82,3.07,0.11,22.36,39.74,18.9,12.34,1254.0,433.0,4214.0,10449.0,-5.54,-4.91,45.39,8.9,-13.82,-8.24,,,-100.0,8.18,-1.88,1.39,,,,,,,-6.78,4.9,56.65,-6.78,4.9,56.65,,-6.93,55.11,3.3000000000000003,XPLUS (XPL)
MIRACULUM,MIR,47500000,0.6,1.36,-0.04,,1.06,0.77,-0.22,,-7.2,-3.55,-4.06,14382.0,1063.0,-296.0,-455.0,5.5,15.75,105.64,-43.48,-17.2,-56.1,-9.65,-1.96,31.84,-252.99,18.28,-128.95,,,,16.65,80.17,1429.59,-3.99,1.96,7.51,-3.99,1.96,7.51,,,,0.0,MIRACULUM (MIR)
WASKO,WAS,91187500,2.82,0.63,0.18,9.93,5.74,0.31,0.95,1.88,6.35,3.86,3.12,43378.0,1603.0,47298.0,52294.0,-0.59,-7.47,14.16,144.65,160.62,33.21,7.03,36.39,81.21,36.73,18.16,12.26,0.0,-27.73,-30.59,-15.3,-51.12,-83.91,-12.2,-12.11,-5.28,-12.2,-12.11,-5.28,5.95,-66.13,77.8,2.1,WASKO (WAS)
SYGNITY,SGN,22759947,14.53,6.75,3.54,27.65,14.65,6.69,4.33,22.61,24.4,18.53,24.19,16253.0,1893.0,73658.0,103956.0,13.73,57.59,45.0,33.42,199.12,176.11,10.61,14.63,-10.41,28.65,190.54,98.23,0.36,3.37,3.37,-75.01,,-68.2,6.7,54.08,46.88,6.7,54.08,46.88,,,,0.0,SYGNITY (SGN)
KGHM,KGH,200000000,161.56,0.99,12.84,12.47,175.26,0.91,-50.87,,7.94,4.66,7.32,12775000.0,433000.0,-794000.0,-5345000.0,-0.76,3.56,48.32,-10.49,-46.19,42.96,,,,-1.86,-23.72,44.62,,,,-50.83,-49.39,52.09,2.26,3.12,28.82,2.26,3.12,28.82,-100.0,-100.0,,0.0,KGHM (KGH)
KRKA,KRK,32793448,297.67,3.08,51.45,17.84,259.79,3.53,163.59,5.61,17.28,13.32,19.81,731664.0,192968.0,230212.0,1422633.0,4.41,5.77,20.27,10.86,-1.06,26.54,4.59,1.91,24.17,5.9,2.64,1.5,-0.09,-8.97,-7.49,,,,4.07,0.52,22.81,4.07,0.52,22.81,9.03,31.03,74.89,3.8,KRKA (KRK)
IZOSTAL,IZS,32744000,8.17,0.39,0.41,7.73,39.03,0.08,2.03,1.57,5.05,2.05,1.06,29903.0,16772.0,-9975.0,-63599.0,65.64,9.09,48.61,33.27,-39.9,-10.97,221.43,92.06,43.07,31.86,3.76,45.13,0.0,0.0,0.0,-9.68,-3.26,79.74,-14.88,-4.79,22.16,-14.88,-4.79,22.16,0.0,-24.99,-18.18,2.6,IZOSTAL (IZS)
VRG,VRG,234455840,4.74,1.02,0.4,12.04,6.23,0.78,0.76,6.35,8.49,5.37,6.45,222012.0,23859.0,2676.0,24869.0,6.3,14.73,71.21,7.34,1.39,-336.02,4.65,24.96,65.26,7.04,11.63,183.94,0.0,0.0,0.0,137.3,535.75,1183.22,4.31,16.09,19.69,4.31,16.09,19.69,0.0,-47.06,,2.0,VRG (VRG)
ATENDE,ATD,36343344,2.03,2.0,-0.06,,9.27,0.44,-0.32,,-2.73,-0.84,-0.6,31944.0,3245.0,-2679.0,-21513.0,-4.4,49.29,29.48,-9.84,-697.02,-127.75,,,,-343.51,-86.03,-97.28,0.0,-35.7,-35.7,215.47,385.5,153.8,-5.01,45.48,-8.79,-5.01,45.48,-8.79,-100.0,,-100.0,0.0,ATENDE (ATD)
ATAL,1AT,43260550,37.82,1.51,3.98,14.35,24.14,2.37,32.93,1.73,10.52,3.53,16.49,1274150.0,63883.0,-26360.0,-819979.0,-29.77,-37.01,-10.54,-41.7,-53.2,2.91,11.69,47.54,77.77,-25.05,-42.75,19.28,0.0,0.0,0.0,47.37,,426.67,28.51,53.64,74.84,28.51,53.64,74.84,-5.55,5.43,,9.6,ATAL (1AT)
COGNOR,COG,171420663,6.54,1.02,-0.49,,12.79,0.52,-3.52,,-7.44,-2.99,-3.8,243719.0,62205.0,-329403.0,-312989.0,-4.4,-40.2,26.5,53.54,-114.47,-363.28,-3.63,-11.05,40.11,-95.79,-99.87,-99.09,0.0,0.0,0.0,10.54,1248.83,1060.44,6.35,34.1,170.88,6.35,34.1,170.88,,-100.0,-100.0,0.0,COGNOR (COG)
ARTIFEX,ART,11887599,10.75,1.38,2.09,7.08,8.39,1.76,9.55,1.55,19.45,16.31,24.9,5575.0,733.0,5359.0,2323.0,-3.61,158.86,287.89,-9.3,105.97,201.49,1.79,313.49,9381.8,-9.99,160.26,153.08,,,,,,,14.08,134.4,326.81,14.08,134.4,326.81,,,,0.0,ARTIFEX (ART)
CEZ,CEZ,537989759,76.54,2.96,9.07,24.97,107.29,2.11,-139.29,,11.85,3.21,8.45,81808139.0,2731351.0,1908329.0,2615960.0,-0.17,5.75,57.15,-6.09,-68.94,407.93,,,,3.95,-8.85,210.55,3.24,-9.68,11.38,5.9,-56.24,0.96,-0.89,-29.38,23.33,-0.89,-29.38,23.33,-6.84,-11.15,39.23,,CEZ (CEZ)
