Ticker,Date,Close,RSI,MACD_diff,SMA20,CCI,ADX,Stochastic,RSI_signal,MACD_signal,BB_signal,CCI_signal,Stochastic_signal,Overall_signal
06N,2025-10-30,3.05,66.67,0.0127,2.86,153.71,,84.37,Sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Silne sprzedaj
08N,2025-10-30,0.72,40.0,0.0007,0.73,-48.99,,0.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
11B,2025-10-30,177.8,20.21,-1.3453,187.3,-89.32,,10.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
1AT,2025-10-30,58.0,51.06,0.0866,57.69,51.63,,81.82,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
3RG,2025-10-30,0.82,35.45,-0.0033,0.85,-92.58,,16.67,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
4MS,2025-10-30,4.35,42.0,-0.0029,4.46,-97.5,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
AAT,2025-10-30,1.69,43.68,0.0075,1.75,-41.22,,45.1,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ABE,2025-10-30,96.9,43.65,-0.0111,97.49,-47.13,,38.46,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ABS,2025-10-30,86.0,34.09,-0.1825,86.77,-39.19,,25.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ACG,2025-10-30,26.0,40.43,-0.0584,26.4,-68.94,,18.18,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
ACP,2025-10-30,222.2,63.13,0.4933,222.07,0.94,,64.89,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ACT,2025-10-30,30.85,63.77,0.0104,29.92,38.13,,97.14,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ADV,2025-10-30,0.66,34.09,0.001,0.68,-49.35,,33.33,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
AGO,2025-10-30,9.18,39.58,-0.0335,9.3,-38.25,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
AGT,2025-10-30,5.44,58.67,0.0376,5.29,89.85,,65.22,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ALE,2025-10-30,34.47,69.25,0.158,34.05,33.88,,63.85,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ALG,2025-10-30,0.97,54.05,-0.0,0.98,-29.22,,53.57,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ALI,2025-10-30,2.8,46.15,-0.0241,2.78,20.54,,86.67,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ALL,2025-10-30,15.26,30.94,-0.0643,16.3,-73.74,,9.46,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
ALR,2025-10-30,106.0,53.63,0.3644,105.57,16.65,,41.18,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
AMB,2025-10-30,19.74,55.17,0.0376,19.57,45.41,,86.96,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
AMC,2025-10-30,57.5,39.39,-0.1994,58.15,-55.8,,31.25,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ANR,2025-10-30,28.8,47.56,-0.0626,29.22,-44.23,,5.88,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
APE,2025-10-30,2.9,31.34,-0.0322,3.1,-110.45,,13.51,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
APL,2025-10-30,0.88,35.37,-0.0041,0.95,-197.19,,0.0,Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Silne Kupuj
APN,2025-10-30,18.1,50.98,0.0346,17.95,52.5,,75.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
APR,2025-10-30,18.1,38.04,0.03,18.24,-26.16,,51.52,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
APT,2025-10-30,23.1,65.38,0.0774,22.42,48.85,,100.0,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ARH,2025-10-30,45.3,40.87,-0.0022,45.92,-27.4,,55.56,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ARL,2025-10-30,41.2,26.66,-0.2549,43.18,-138.4,,6.33,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
ART,2025-10-30,13.94,45.11,0.0194,14.22,-41.14,,68.52,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ASB,2025-10-30,29.78,73.59,0.2248,28.14,154.69,,95.97,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
ASE,2025-10-30,66.8,40.56,-0.5271,69.99,-80.59,,5.45,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
AST,2025-10-30,45.85,60.73,0.3176,44.73,52.84,,77.66,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ATC,2025-10-30,8.52,52.67,0.06,8.51,4.08,,47.27,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ATD,2025-10-30,3.45,46.74,-0.0252,3.65,-73.57,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
ATG,2025-10-30,3.95,58.97,0.0007,3.93,15.08,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ATP,2025-10-30,16.95,39.58,-0.0356,17.0,-11.34,,41.18,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ATR,2025-10-30,48.6,50.33,-0.2012,48.68,-4.41,,33.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ATS,2025-10-30,2.13,48.72,0.004,2.11,53.49,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ATT,2025-10-30,18.84,43.31,0.0112,18.89,-14.27,,51.16,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
AWM,2025-10-30,0.37,32.35,-0.0002,0.38,-54.72,,13.79,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
B24,2025-10-30,53.2,48.48,-0.0373,54.52,-51.01,,25.93,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BBD,2025-10-30,5.1,52.34,0.0104,5.06,23.64,,68.75,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
BBT,2025-10-30,6.46,55.88,-0.0026,6.49,-15.31,,33.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BCM,2025-10-30,4.9,44.9,-0.0164,4.93,-19.65,,58.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BCS,2025-10-30,12.3,34.59,-0.0963,12.96,-136.53,,10.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
BCX,2025-10-30,99.0,52.46,0.2019,98.09,24.85,,84.62,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
BDX,2025-10-30,587.0,76.73,7.0988,538.03,182.41,,93.63,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
BFT,2025-10-30,3135.0,34.07,-15.7625,3243.0,-80.53,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
BHW,2025-10-30,104.8,53.41,0.1603,104.15,25.28,,77.36,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
BIO,2025-10-30,4.25,42.42,-0.0042,4.29,-31.77,,50.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BIP,2025-10-30,24.4,80.0,0.5291,19.88,147.64,,100.0,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
BLO,2025-10-30,25.6,27.78,0.0359,25.68,-16.41,,12.5,Silne Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
BMC,2025-10-30,28.55,19.68,-1.0104,33.84,-117.8,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
BMX,2025-10-30,13.0,58.82,0.0205,13.02,-5.63,,60.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
BNP,2025-10-30,111.5,77.78,0.7968,106.45,137.27,,100.0,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
BOS,2025-10-30,11.84,65.22,0.0685,11.39,192.48,,100.0,Sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Silne sprzedaj
BOW,2025-10-30,5.1,39.62,-0.0131,5.2,-28.45,,61.9,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BRS,2025-10-30,6.0,36.36,-0.0744,6.44,-93.77,,0.0,Kupuj,Sprzedaj,Kupuj,Trzymaj,Kupuj,Kupuj
BST,2025-10-30,27.8,39.13,-0.1504,28.17,-35.24,,37.5,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CAP,2025-10-30,0.42,59.06,0.0014,0.41,96.81,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CAR,2025-10-30,551.0,48.61,1.1024,550.25,11.65,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CAV,2025-10-30,14.85,64.44,0.0751,14.03,50.3,,72.41,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CBF,2025-10-30,187.2,59.17,0.0418,187.06,2.18,,56.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CCC,2025-10-30,152.0,46.44,0.8919,153.05,-4.29,,58.23,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CCE,2025-10-30,0.26,33.33,-0.0027,0.29,-134.15,,0.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
CDL,2025-10-30,9.95,43.4,-0.0157,9.93,7.32,,68.75,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CDR,2025-10-30,257.3,47.05,-0.371,260.96,-29.22,,70.25,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CEZ,2025-10-30,228.6,52.17,0.0068,226.24,68.14,,84.44,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CFI,2025-10-30,0.16,54.0,0.0,0.17,-8.73,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CIG,2025-10-30,2.89,28.26,-0.0153,3.02,-89.24,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
CLC,2025-10-30,6.52,71.11,0.0616,5.97,353.74,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
CLD,2025-10-30,58.0,68.0,1.0034,51.51,171.07,,86.21,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
CLE,2025-10-30,2.7,56.5,-0.0033,2.69,4.5,,43.24,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CLN,2025-10-30,21.6,30.91,-0.0819,22.28,-103.06,,11.11,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
