Nazwa,Rok,Data publikacji,Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Koszty sprzedaży [tys. zł],Zysk operacyjny (EBIT) [tys. zł],EBITDA [tys. zł],Wartość firmy [tys. zł],Kredyty i pożyczki [tys. zł],Aktywa [tys. zł],Zobowiązania długoterminowe [tys. zł],Koszty finansowe [tys. zł],Pasywa [tys. zł],Dywidenda [tys. zł],Przepływy pieniężne [tys. zł],Wolne przepływy pieniężne [tys. zł],Ticker,Kurs [zł]
06N,2004,2005-03-01,167714.0,12695.0,0.0,14756.0,18135.0,,34782.0,300623.0,0.0,0.0,300623.0,0.0,26450.0,29936.0,06N,54.72
06N,2005,2006-02-14,7788.0,2315.0,0.0,-890.0,-815.0,,30111.0,312587.0,0.0,0.0,312587.0,0.0,35055.0,44300.0,06N,51.853
06N,2006,2007-03-01,5900.0,26742.0,0.0,-7316.0,-7282.0,,0.0,190013.0,0.0,0.0,190013.0,0.0,-62585.0,27635.0,06N,79.295
06N,2007,2009-04-02,8313.0,-9512.0,0.0,2436.0,2449.0,,0.0,45088.0,0.0,0.0,45088.0,25260.0,-54163.0,12495.0,06N,14.3
06N,2008,2010-03-22,176739.0,8608.0,5462.0,9818.0,16492.0,0.0,6203.0,99145.0,4308.0,877.0,99145.0,0.0,4976.0,7346.0,06N,11.4
06N,2009,2011-03-21,191118.0,1845.0,6608.0,5699.0,16929.0,22447.0,9668.0,148582.0,31008.0,5152.0,148582.0,0.0,-3888.0,-22095.0,06N,7.0
06N,2010,2011-03-21,99936.0,-39698.0,3637.0,-36802.0,-26373.0,20324.0,6820.0,101965.0,9299.0,3616.0,101965.0,0.0,-1559.0,-10975.0,06N,7.0
06N,2011,2012-03-20,72733.0,-5533.0,1487.0,-405.0,5995.0,20324.0,1211.0,106331.0,10116.0,6241.0,106331.0,0.0,2408.0,2176.0,06N,3.9
06N,2012,2013-03-21,55468.0,936.0,1278.0,-1714.0,4397.0,0.0,511.0,106201.0,595.0,5474.0,106201.0,0.0,-2792.0,-33629.0,06N,2.1
06N,2013,2014-11-14,0.0,-8044.0,0.0,-7169.0,-3921.0,5680.0,1.0,74887.0,632.0,1938.0,74887.0,0.0,46.0,-9002.0,06N,2.48
06N,2014,2016-03-18,2543.0,-19796.0,0.0,-3926.0,-3143.0,5680.0,0.0,56681.0,2102.0,20186.0,56681.0,0.0,-1057.0,-4593.0,06N,1.88
06N,2016,2017-04-28,3142.0,-27026.0,0.0,-4457.0,-3803.0,36.0,0.0,28651.0,2000.0,24965.0,28651.0,0.0,45.0,-573.0,06N,0.4
06N,2017,2018-04-27,2350.0,1669.0,0.0,-1580.0,-882.0,387.0,0.0,33495.0,2020.0,1335.0,33495.0,0.0,160.0,-1783.0,06N,0.29
06N,2018,2019-04-11,6445.0,-4880.0,1047.0,-1314.0,-123.0,387.0,399.0,28645.0,2022.0,5713.0,28645.0,0.0,172.0,-2147.0,06N,
06N,2019,2020-04-16,5145.0,1999.0,533.0,1198.0,1800.0,387.0,0.0,29489.0,2325.0,1253.0,29489.0,0.0,340.0,-1767.0,06N,0.3
06N,2020,2021-04-26,7774.0,4891.0,1529.0,6268.0,7143.0,387.0,0.0,33193.0,2217.0,1376.0,33193.0,0.0,1704.0,3181.0,06N,2.88
06N,2021,2022-04-28,5943.0,1929.0,1815.0,1348.0,2212.0,387.0,0.0,37605.0,227.0,1285.0,37605.0,0.0,-1014.0,-1986.0,06N,3.8
06N,2022,2023-04-20,6284.0,-634.0,1968.0,-2435.0,-1611.0,387.0,0.0,33432.0,197.0,2787.0,33432.0,0.0,719.0,-1940.0,06N,3.64
06N,2023,2024-04-22,7103.0,68445.0,1987.0,81322.0,82240.0,387.0,0.0,100267.0,760.0,2395.0,100267.0,0.0,22605.0,65199.0,06N,3.35
06N,2024,2025-04-25,19152.0,5078.0,4221.0,715.0,4587.0,387.0,0.0,109248.0,701.0,2634.0,109248.0,0.0,-18463.0,-3578.0,06N,2.67
06N,2025,2025-11-21,21613.0,1801.0,4015.0,-3102.0,525.0,387.0,0.0,110441.0,649.0,4163.0,110441.0,0.0,-5562.0,-2644.0,06N,3.0
11-BIT-STUDIOS,2009,2011-06-15,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,,
11-BIT-STUDIOS,2010,2011-02-14,474.0,-231.0,0.0,-284.0,-223.0,,0.0,1352.0,0.0,1.0,1352.0,0.0,631.0,-768.0,,
11-BIT-STUDIOS,2011,2012-02-14,3055.0,1293.0,0.0,1459.0,1516.0,,0.0,2986.0,0.0,0.0,2986.0,0.0,567.0,242.0,,
11-BIT-STUDIOS,2012,2013-02-14,4795.0,1345.0,0.0,1795.0,1913.0,0.0,0.0,7337.0,0.0,110.0,7337.0,0.0,2166.0,-842.0,,
11-BIT-STUDIOS,2013,2014-02-14,5709.0,1008.0,0.0,1394.0,1590.0,0.0,0.0,8713.0,0.0,112.0,8713.0,0.0,276.0,149.0,,
11-BIT-STUDIOS,2014,2015-02-12,17679.0,9236.0,0.0,11245.0,11532.0,0.0,0.0,21515.0,0.0,1.0,21515.0,0.0,3903.0,2665.0,,
11-BIT-STUDIOS,2015,2016-02-12,23170.0,11566.0,0.0,13762.0,16231.0,0.0,0.0,32818.0,571.0,8.0,32818.0,0.0,16116.0,15788.0,,
11-BIT-STUDIOS,2016,2017-03-30,27016.0,12929.0,0.0,14134.0,16703.0,0.0,0.0,45649.0,444.0,9.0,45649.0,0.0,6657.0,7253.0,,
11-BIT-STUDIOS,2017,2018-03-26,19186.0,3558.0,0.0,7524.0,9238.0,0.0,0.0,48650.0,763.0,3409.0,48650.0,0.0,-211.0,1421.0,,
11-BIT-STUDIOS,2018,2019-03-27,82114.0,37550.0,0.0,46949.0,51442.0,0.0,1452.0,109263.0,12018.0,194.0,109263.0,0.0,-3926.0,12474.0,,
11-BIT-STUDIOS,2019,2020-03-25,71221.0,21710.0,0.0,23871.0,30295.0,0.0,1304.0,155668.0,11262.0,205.0,155668.0,0.0,-9368.0,27206.0,,
11-BIT-STUDIOS,2020,2021-04-28,87102.0,37363.0,0.0,40792.0,51057.0,0.0,1357.0,186340.0,10469.0,684.0,186340.0,0.0,9252.0,7911.0,,
11-BIT-STUDIOS,2021,2022-03-24,70123.0,28686.0,0.0,30031.0,38951.0,0.0,1260.0,219513.0,8951.0,503.0,219513.0,0.0,2613.0,12064.0,,
11-BIT-STUDIOS,2022,2023-03-23,74206.0,22890.0,0.0,19983.0,25874.0,0.0,1260.0,244197.0,9457.0,522.0,244197.0,0.0,3838.0,-12748.0,,
11-BIT-STUDIOS,2023,2024-04-18,52273.0,527.0,0.0,7592.0,11764.0,0.0,1260.0,258328.0,6559.0,10841.0,258328.0,0.0,8020.0,-36915.0,,
11-BIT-STUDIOS,2024,2025-04-15,140545.0,6889.0,0.0,-2838.0,16975.0,0.0,1260.0,262303.0,4553.0,1441.0,262303.0,0.0,29731.0,18755.0,,
11-BIT-STUDIOS,2025,2025-11-20,135197.0,-18689.0,0.0,-25325.0,13616.0,0.0,1260.0,282018.0,5041.0,6432.0,282018.0,0.0,36011.0,37339.0,,
3RG,2008,2009-04-30,2395.0,333.0,0.0,371.0,484.0,,0.0,1322.0,0.0,4.0,1322.0,0.0,219.0,411.0,3RG,
3RG,2009,2010-04-30,3403.0,912.0,0.0,1120.0,1352.0,,0.0,3101.0,138.0,7.0,3101.0,0.0,-6.0,-24.0,3RG,
3RG,2010,2011-04-30,5482.0,1526.0,0.0,1932.0,2439.0,,0.0,4940.0,208.0,18.0,4940.0,0.0,503.0,387.0,,
3RG,2011,2012-04-30,8139.0,2095.0,0.0,2600.0,3475.0,0.0,0.0,7905.0,130.0,35.0,7905.0,0.0,-418.0,-262.0,3RG,8.78
3RG,2012,2013-03-21,10539.0,-7728.0,0.0,-8446.0,-6965.0,0.0,0.0,20020.0,341.0,41.0,20020.0,0.0,16225.0,-1885.0,3RG,5.9
3RG,2013,2014-03-21,11924.0,-205.0,0.0,-528.0,169.0,0.0,0.0,19158.0,352.0,221.0,19158.0,0.0,-5319.0,-4900.0,3RG,1.4
3RG,2014,2015-03-23,10941.0,-1393.0,0.0,-1773.0,-900.0,0.0,0.0,17406.0,96.0,69.0,17406.0,0.0,-7195.0,-1337.0,3RG,1.18
3RG,2015,2016-03-21,14146.0,-9133.0,0.0,-9138.0,-8183.0,329.0,0.0,18006.0,0.0,209.0,18006.0,0.0,-223.0,-3775.0,3RG,2.45
3RG,2016,2017-03-24,21782.0,444.0,0.0,367.0,901.0,5510.0,1115.0,21737.0,0.0,79.0,21737.0,0.0,-2429.0,-3552.0,3RG,1.9
3RG,2017,2018-04-27,18268.0,-12327.0,0.0,-9642.0,-7765.0,4597.0,2035.0,11842.0,0.0,2603.0,11842.0,0.0,-1020.0,-4104.0,3RG,0.4
3RG,2018,2019-04-29,8549.0,-9851.0,0.0,-9713.0,-9347.0,936.0,16.0,4725.0,0.0,281.0,4725.0,0.0,-188.0,-4380.0,3RG,
3RG,2019,2020-06-30,9654.0,-6228.0,0.0,-5895.0,-5297.0,87.0,10154.0,9059.0,359.0,521.0,9059.0,0.0,796.0,-9065.0,3RG,0.505
3RG,2020,2021-04-30,137.0,-5389.0,0.0,-1197.0,-1025.0,15602.0,904.0,16853.0,721.0,504.0,16853.0,0.0,109.0,-3842.0,3RG,0.9
